timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_rad_s,scaling,x_in[0],x_in[1],x_in[2],x_in[3],x_in[4],y_in[0],y_in[1],y_in[2],y_in[3],y_in[4],z_in[0],z_in[1],z_in[2],z_in[3],z_in[4],device_id,x_raw,y_raw,z_raw,temperature_raw,int_count
27317559,4800,6,0.229197,0.122918,0.0739866,0.000818012,4.57393e-05,0.000419541,25.2693,34.9066,0.00106422,0.212085,0.184415,0.158874,0.136525,0.125883,0.0996689,-0.0429366,-0.100404,-0.00888154,0.106054,0.0927454,0.111901,0.100195,0.0746536,0.0544335,536898680,96,-65,42,88,5
27322359,4800,6,0.177764,0.0747594,0.0785168,0.000570663,0.000176156,0.000431491,25.2693,34.9066,0.00106422,0.136525,0.125883,0.12269,0.0971489,0.087571,0.191192,0.137981,-0.001432,-0.148294,-0.161065,0.0629472,0.0863601,0.10658,0.109773,0.100195,0,-155,-29,85,88,5
27327209,4850,6,0.109026,0.0233077,0.0858343,9.40812e-05,0.000110751,0.00042513,25.2632,34.9066,0.00106422,0.0332958,0.00562606,0.00136918,-0.000759261,0.0279747,-0.0482577,0.0986046,0.148623,0.0560359,-0.118496,0.0831674,0.0778463,0.0842316,0.095938,0.10658,536898680,-115,27,91,86,5
27332759,5550,6,0.0374344,-0.0289494,0.0935418,-0.000251661,-0.000330243,0.000557389,25.2448,34.9066,0.00106422,0.0226536,0.00349762,-0.0784473,-0.111438,-0.132722,-0.241946,-0.190863,-0.0386797,0.115632,0.113504,0.10658,0.103388,0.0980665,0.0938096,0.0948738,536871776,103,178,80,80,5
27337559,4800,6,-0.0313069,-0.0573452,0.0986208,-0.000291383,-0.000638587,0.000503947,25.2356,34.9066,0.00106422,-0.0901537,-0.028429,-0.00927302,-0.062484,-0.143365,-0.0248448,-0.204698,-0.266423,-0.155744,0.0155955,0.095938,0.104452,0.107644,0.110837,0.108709,536898680,11,188,93,77,5
27342359,4800,6,-0.0907317,-0.0629019,0.102188,-0.000647623,-0.000206087,0.000480602,25.2601,34.9066,0.00106422,-0.205089,-0.209346,-0.128466,-0.0263005,0.000304959,0.128403,0.0571001,-0.10679,-0.22279,-0.192992,0.101259,0.0991307,0.095938,0.100195,0.104452,536871776,-185,53,89,85,5
27347209,4850,6,-0.113942,-0.0534764,0.103291,-0.000627889,0.000111481,0.000497435,25.2693,34.9066,0.00106422,-0.0752546,-0.155071,-0.226374,-0.180612,-0.0507776,-0.0227164,0.106054,0.135852,0.017724,-0.0812485,0.107644,0.108709,0.0991307,0.0970022,0.0863601,536898680,-80,101,72,88,5
27352759,5550,6,-0.0825892,-0.0228273,0.0979229,3.18506e-05,0.00014754,0.000476742,25.2479,34.9066,0.00106422,0.0854425,0.119498,0.0407453,-0.0497134,-0.12208,-0.0993402,-0.0131384,0.0943478,0.142238,0.114568,0.0874243,0.0863601,0.0852958,0.0895527,0.0778463,536900584,104,168,64,81,5
27357559,4800,6,-0.0171803,0.0316954,0.0843989,0.000699885,0.000456786,0.000278711,25.2387,34.9066,0.00106422,-0.052906,0.116305,0.249332,0.278066,0.163131,0.0464579,0.0304946,0.0826413,0.155008,0.160329,0.071461,0.0554977,0.0544335,0.0501766,0.0512408,536898680,147,-100,39,78,5
27362359,4800,6,0.0705944,0.0818228,0.0638245,0.000566769,0.000519295,0.000186334,25.2417,34.9066,0.00106422,0.0652224,0.00562606,0.0907636,0.241883,0.350433,0.124146,0.0507148,0.076256,0.130531,0.247595,0.0501766,0.0448555,0.037406,0.0256995,0.0161216,536898680,229,-276,6,79,5
